Species	Burrowing
Acinonyx_jubatus	0
Ailuropoda_melanoleuca	1
Ailurus_fulgens	0
Aonyx_capensis	0
Aonyx_cinerea	0
Arctictis_binturong	0
Arctogalidia_trivirgata	0
Arctonyx_collaris	1
Atelocynus_microtis	1
Atilax_paludinosus	0
Bassaricyon_gabbii	0
Bassariscus_astutus	0
Bassariscus_sumichrasti	0
Bdeogale_crassicauda	1
Canis_adustus	1
Canis_aureus	1
Canis_latrans	2
Canis_lupus	2
Canis_mesomelas	1
Canis_simensis	1
Caracal_caracal	1
Catopuma_temminckii	0
Cerdocyon_thous	1
Chrotogale_owstoni	1
Chrysocyon_brachyurus	1
Civettictis_civetta	1
Conepatus_leuconotus	1
Crocuta_crocuta	1
Crossarchus_obscurus	2
Cryptoprocta_ferox	1
Cuon_alpinus	2
Cynictis_penicillata	2
Cynogale_bennettii	0
Dologale_dybowskii	2
Eira_barbara	1
Enhydra_lutris	0
Eupleres_goudotii	0
Felis_chaus	1
Felis_manul	1
Felis_margarita	2
Felis_nigripes	1
Felis_silvestris	0
Fossa_fossana	0
Galerella_sanguinea	1
Galictis_cuja	2
Galictis_vittata	2
Galidia_elegans	2
Genetta_abyssinica	1
Genetta_angolensis	1
Genetta_genetta	1
Genetta_servalina	1
Genetta_thierryi	1
Gulo_gulo	1
Helarctos_malayanus	0
Helogale_parvula	2
Hemigalus_derbyanus	0
Herpestes_ichneumon	1
Herpestes_javanicus	1
Herpestes_urva	1
Hyaena_brunnea	2
Hyaena_hyaena	2
Hydrictis_maculicollis	0
Ichneumia_albicauda	1
Ictonyx_libyca	2
Ictonyx_striatus	2
Leopardus_geoffroyi	0
Leopardus_guigna	0
Leopardus_jacobitus	0
Leopardus_pardalis	0
Leopardus_wiedii	0
Leptailurus_serval	1
Liberiictis_kuhni	1
Lontra_canadensis	0
Lontra_felina	0
Lontra_longicaudis	0
Lutra_lutra	2
Lutrogale_perspicillata	0
Lycalopex_culpaeus	1
Lycalopex_vetulus	1
Lycaon_pictus	1
Lynx_canadensis	0
Lynx_lynx	1
Lynx_pardinus	1
Lynx_rufus	0
Macrogalidia_musschenbroekii	0
Martes_americana	1
Martes_flavigula	0
Martes_foina	1
Martes_martes	0
Martes_melampus	1
Martes_pennanti	1
Martes_zibellina	1
Meles_meles	2
Mellivora_capensis	2
Melogale_moschata	2
Melursus_ursinus	1
Mephitis_macroura	2
Mephitis_mephitis	2
Mungos_gambianus	1
Mungos_mungo	1
Mungotictis_decemlineata	2
Mustela_africana	1
Mustela_altaica	1
Mustela_erminea	1
Mustela_eversmanii	1
Mustela_frenata	1
Mustela_lutreola	2
Mustela_nigripes	1
Mustela_nivalis	1
Mustela_putorius	1
Mustela_sibirica	1
Mydaus_javanensis	2
Mydaus_marchei	2
Nandinia_binotata	0
Nasua_narica	0
Nasua_nasua	0
Neofelis_nebulosa	0
Neovison_vison	2
Nyctereutes_procyonoides	1
Otocyon_megalotis	2
Paguma_larvata	0
Panthera_leo	0
Panthera_onca	0
Panthera_pardus	0
Panthera_tigris	0
Paracynictis_selousi	2
Paradoxurus_hermaphroditus	0
Paradoxurus_zeylonensis	0
Pardofelis_marmorata	0
Poecilogale_albinucha	2
Poiana_richardsonii	0
Potos_flavus	0
Prionailurus_bengalensis	1
Prionailurus_iriomotensis	0
Prionailurus_rubiginosus	0
Prionodon_linsang	0
Prionodon_pardicolor	0
Procyon_cancrivorus	1
Procyon_lotor	1
Proteles_cristata	1
Pteronura_brasiliensis	0
Puma_concolor	0
Salanoia_concolor	2
Speothos_venaticus	1
Spilogale_gracilis	2
Spilogale_putorius	2
Spilogale_pygmaea	2
Suricata_suricatta	2
Taxidea_taxus	2
Tremarctos_ornatus	1
Uncia_uncia	0
Urocyon_cinereoargenteus	2
Ursus_americanus	2
Ursus_arctos	2
Ursus_maritimus	2
Ursus_thibetanus	1
Viverra_megaspila	1
Viverra_tangalunga	1
Viverra_zibetha	1
Viverricula_indica	2
Vormela_peregusna	2
Vulpes_cana	1
Vulpes_chama	2
Vulpes_corsac	1
Vulpes_lagopus	2
Vulpes_macrotis	2
Vulpes_pallida	2
Vulpes_rueppellii	2
Vulpes_velox	2
Vulpes_vulpes	2
Vulpes_zerda	2
